開催日,大会名,店名,開催都道府県,大会カテゴリ,順位,獲得CSP,プレイヤーID,プレイヤー名,デッキ名,大会ID,詳細URL,元テキスト,取得日時
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード池袋店,東京都,オープン,8,25,0000000042,選手42,サーナイトex,700004,,"8 位	25pt	選手42
プレイヤーID：0000000042",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,1,100,0000000012,選手12,タケルライコex,700005,,"1 位	100pt	選手12
プレイヤーID：0000000012",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,2,75,0000000018,選手18,ドラパルトex,700005,,"2 位	75pt	選手18
プレイヤーID：0000000018",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,3,50,0000000023,選手23,ドラパルトex,700005,,"3 位	50pt	選手23
プレイヤーID：0000000023",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,4,50,0000000027,選手27,サーナイトex,700005,,"4 位	50pt	選手27
プレイヤーID：0000000027",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,5,25,0000000029,選手29,ドラパルトex,700005,,"5 位	25pt	選手29
プレイヤーID：0000000029",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,6,25,0000000030,選手30,サーナイトex,700005,,"6 位	25pt	選手30
プレイヤーID：0000000030",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,7,25,0000000044,選手44,リザードンex,700005,,"7 位	25pt	選手44
プレイヤーID：0000000044",2026-07-29T00:00:00Z
2022-10-09,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,8,25,0000000052,選手52,ドラパルトex,700005,,"8 位	25pt	選手52
プレイヤーID：0000000052",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,1,100,0000000015,選手15,タケルライコex,700006,,"1 位	100pt	選手15
プレイヤーID：0000000015",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,2,75,0000000016,選手16,サーナイトex,700006,,"2 位	75pt	選手16
プレイヤーID：0000000016",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,3,50,0000000019,選手19,タケルライコex,700006,,"3 位	50pt	選手19
プレイヤーID：0000000019",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,4,50,0000000021,選手21,ドラパルトex,700006,,"4 位	50pt	選手21
プレイヤーID：0000000021",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,5,25,0000000035,選手35,タケルライコex,700006,,"5 位	25pt	選手35
プレイヤーID：0000000035",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,6,25,0000000039,選手39,サーナイトex,700006,,"6 位	25pt	選手39
プレイヤーID：0000000039",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,7,25,0000000043,選手43,ドラパルトex,700006,,"7 位	25pt	選手43
プレイヤーID：0000000043",2026-07-29T00:00:00Z
2023-03-09,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ千葉店,千葉県,オープン,8,25,0000000046,選手46,タケルライコex,700006,,"8 位	25pt	選手46
プレイヤーID：0000000046",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,1,100,0000000013,選手13,ドラパルトex,700007,,"1 位	100pt	選手13
プレイヤーID：0000000013",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,2,75,0000000014,選手14,リザードンex,700007,,"2 位	75pt	選手14
プレイヤーID：0000000014",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,3,50,0000000026,選手26,ドラパルトex,700007,,"3 位	50pt	選手26
プレイヤーID：0000000026",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,4,50,0000000027,選手27,サーナイトex,700007,,"4 位	50pt	選手27
プレイヤーID：0000000027",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,5,25,0000000029,選手29,タケルライコex,700007,,"5 位	25pt	選手29
プレイヤーID：0000000029",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,6,25,0000000031,選手31,タケルライコex,700007,,"6 位	25pt	選手31
プレイヤーID：0000000031",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,7,25,0000000034,選手34,リザードンex,700007,,"7 位	25pt	選手34
プレイヤーID：0000000034",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルバトル柏店,千葉県,オープン,8,25,0000000036,選手36,ドラパルトex,700007,,"8 位	25pt	選手36
プレイヤーID：0000000036",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,1,100,0000000013,選手13,リザードンex,700008,,"1 位	100pt	選手13
プレイヤーID：0000000013",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,2,75,0000000017,選手17,サーナイトex,700008,,"2 位	75pt	選手17
プレイヤーID：0000000017",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,3,50,0000000020,選手20,ドラパルトex,700008,,"3 位	50pt	選手20
プレイヤーID：0000000020",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,4,50,0000000023,選手23,タケルライコex,700008,,"4 位	50pt	選手23
プレイヤーID：0000000023",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,5,25,0000000032,選手32,リザードンex,700008,,"5 位	25pt	選手32
プレイヤーID：0000000032",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,6,25,0000000039,選手39,サーナイトex,700008,,"6 位	25pt	選手39
プレイヤーID：0000000039",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,7,25,0000000040,選手40,リザードンex,700008,,"7 位	25pt	選手40
プレイヤーID：0000000040",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルバトル柏店,千葉県,オープン,8,25,0000000048,選手48,サーナイトex,700008,,"8 位	25pt	選手48
プレイヤーID：0000000048",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,1,100,0000000017,選手17,ドラパルトex,700009,,"1 位	100pt	選手17
プレイヤーID：0000000017",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,2,75,0000000023,選手23,リザードンex,700009,,"2 位	75pt	選手23
プレイヤーID：0000000023",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,3,50,0000000024,選手24,サーナイトex,700009,,"3 位	50pt	選手24
プレイヤーID：0000000024",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,4,50,0000000034,選手34,タケルライコex,700009,,"4 位	50pt	選手34
プレイヤーID：0000000034",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,5,25,0000000039,選手39,リザードンex,700009,,"5 位	25pt	選手39
プレイヤーID：0000000039",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,6,25,0000000041,選手41,サーナイトex,700009,,"6 位	25pt	選手41
プレイヤーID：0000000041",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,7,25,0000000046,選手46,ドラパルトex,700009,,"7 位	25pt	選手46
プレイヤーID：0000000046",2026-07-29T00:00:00Z
2022-10-10,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,8,25,0000000047,選手47,リザードンex,700009,,"8 位	25pt	選手47
プレイヤーID：0000000047",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,1,100,0000000011,選手11,リザードンex,700010,,"1 位	100pt	選手11
プレイヤーID：0000000011",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,2,75,0000000012,選手12,サーナイトex,700010,,"2 位	75pt	選手12
プレイヤーID：0000000012",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,3,50,0000000015,選手15,リザードンex,700010,,"3 位	50pt	選手15
プレイヤーID：0000000015",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,4,50,0000000021,選手21,リザードンex,700010,,"4 位	50pt	選手21
プレイヤーID：0000000021",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,5,25,0000000022,選手22,タケルライコex,700010,,"5 位	25pt	選手22
プレイヤーID：0000000022",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,6,25,0000000026,選手26,サーナイトex,700010,,"6 位	25pt	選手26
プレイヤーID：0000000026",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,7,25,0000000028,選手28,タケルライコex,700010,,"7 位	25pt	選手28
プレイヤーID：0000000028",2026-07-29T00:00:00Z
2023-03-10,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード横浜店,神奈川県,オープン,8,25,0000000048,選手48,タケルライコex,700010,,"8 位	25pt	選手48
プレイヤーID：0000000048",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,1,100,0000000016,選手16,リザードンex,700011,,"1 位	100pt	選手16
プレイヤーID：0000000016",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,2,75,0000000019,選手19,ドラパルトex,700011,,"2 位	75pt	選手19
プレイヤーID：0000000019",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,3,50,0000000022,選手22,リザードンex,700011,,"3 位	50pt	選手22
プレイヤーID：0000000022",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,4,50,0000000031,選手31,リザードンex,700011,,"4 位	50pt	選手31
プレイヤーID：0000000031",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,5,25,0000000036,選手36,ドラパルトex,700011,,"5 位	25pt	選手36
プレイヤーID：0000000036",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,6,25,0000000041,選手41,サーナイトex,700011,,"6 位	25pt	選手41
プレイヤーID：0000000041",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,7,25,0000000043,選手43,ドラパルトex,700011,,"7 位	25pt	選手43
プレイヤーID：0000000043",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,8,25,0000000044,選手44,タケルライコex,700011,,"8 位	25pt	選手44
プレイヤーID：0000000044",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,1,100,0000000012,選手12,サーナイトex,700012,,"1 位	100pt	選手12
プレイヤーID：0000000012",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,2,75,0000000014,選手14,サーナイトex,700012,,"2 位	75pt	選手14
プレイヤーID：0000000014",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,3,50,0000000016,選手16,タケルライコex,700012,,"3 位	50pt	選手16
プレイヤーID：0000000016",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,4,50,0000000017,選手17,ドラパルトex,700012,,"4 位	50pt	選手17
プレイヤーID：0000000017",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,5,25,0000000019,選手19,ドラパルトex,700012,,"5 位	25pt	選手19
プレイヤーID：0000000019",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,6,25,0000000021,選手21,タケルライコex,700012,,"6 位	25pt	選手21
プレイヤーID：0000000021",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,7,25,0000000033,選手33,ドラパルトex,700012,,"7 位	25pt	選手33
プレイヤーID：0000000033",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルトレカ川崎店,神奈川県,オープン,8,25,0000000045,選手45,ドラパルトex,700012,,"8 位	25pt	選手45
プレイヤーID：0000000045",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,1,100,0000000002,強豪B,ドラパルトex,700013,,"1 位	100pt	強豪B
プレイヤーID：0000000002",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,2,75,0000000003,選手03,ドラパルトex,700013,,"2 位	75pt	選手03
プレイヤーID：0000000003",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,3,50,0000000004,選手04,タケルライコex,700013,,"3 位	50pt	選手04
プレイヤーID：0000000004",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,4,50,0000000007,選手07,サーナイトex,700013,,"4 位	50pt	選手07
プレイヤーID：0000000007",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,5,25,0000000009,選手09,ドラパルトex,700013,,"5 位	25pt	選手09
プレイヤーID：0000000009",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,6,25,0000000011,選手11,リザードンex,700013,,"6 位	25pt	選手11
プレイヤーID：0000000011",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,7,25,0000000027,選手27,ドラパルトex,700013,,"7 位	25pt	選手27
プレイヤーID：0000000027",2026-07-29T00:00:00Z
2022-10-11,シティリーグ2023 シーズン1 オープンリーグ,サンプルカード大阪店,大阪府,オープン,8,25,0000000037,選手37,ドラパルトex,700013,,"8 位	25pt	選手37
プレイヤーID：0000000037",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,1,100,0000000002,強豪B,ドラパルトex,700014,,"1 位	100pt	強豪B
プレイヤーID：0000000002",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,2,75,0000000004,選手04,タケルライコex,700014,,"2 位	75pt	選手04
プレイヤーID：0000000004",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,3,50,0000000008,選手08,タケルライコex,700014,,"3 位	50pt	選手08
プレイヤーID：0000000008",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,4,50,0000000015,選手15,タケルライコex,700014,,"4 位	50pt	選手15
プレイヤーID：0000000015",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,5,25,0000000019,選手19,タケルライコex,700014,,"5 位	25pt	選手19
プレイヤーID：0000000019",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,6,25,0000000027,選手27,タケルライコex,700014,,"6 位	25pt	選手27
プレイヤーID：0000000027",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,7,25,0000000030,選手30,ドラパルトex,700014,,"7 位	25pt	選手30
プレイヤーID：0000000030",2026-07-29T00:00:00Z
2023-03-11,シティリーグ2023 シーズン3 オープンリーグ,サンプルカード大阪店,大阪府,オープン,8,25,0000000032,選手32,サーナイトex,700014,,"8 位	25pt	選手32
プレイヤーID：0000000032",2026-07-29T00:00:00Z
2022-10-12,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ梅田店,大阪府,オープン,1,100,0000000005,選手05,サーナイトex,700015,,"1 位	100pt	選手05
プレイヤーID：0000000005",2026-07-29T00:00:00Z
2022-10-12,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ梅田店,大阪府,オープン,2,75,0000000006,選手06,サーナイトex,700015,,"2 位	75pt	選手06
プレイヤーID：0000000006",2026-07-29T00:00:00Z
2022-10-12,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ梅田店,大阪府,オープン,3,50,0000000009,選手09,サーナイトex,700015,,"3 位	50pt	選手09
プレイヤーID：0000000009",2026-07-29T00:00:00Z
2022-10-12,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ梅田店,大阪府,オープン,4,50,0000000021,選手21,リザードンex,700015,,"4 位	50pt	選手21
プレイヤーID：0000000021",2026-07-29T00:00:00Z
2022-10-12,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ梅田店,大阪府,オープン,5,25,0000000026,選手26,タケルライコex,700015,,"5 位	25pt	選手26
プレイヤーID：0000000026",2026-07-29T00:00:00Z
2022-10-12,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ梅田店,大阪府,オープン,6,25,0000000029,選手29,ドラパルトex,700015,,"6 位	25pt	選手29
プレイヤーID：0000000029",2026-07-29T00:00:00Z
2022-10-12,シティリーグ2023 シーズン1 オープンリーグ,サンプルトレカ梅田店,大阪府,オープン,7,25,0000000031,選手31,サーナイトex,700015,,"7 位	25pt	選手31
プレイヤーID：0000000031",2026-07-29T00:00:00Z
